modelid;route_id;number_of_repetitions;number_of_successful_routes
modelid;route_id;number_of_repetitions;number_of_successful_routes
1386172427230;1149;10;10
1386172427230;938;10;10
1386172427230;561;10;10
1386172427230;879;10;10
1386172427230;1194;10;10
1386172427230;345;10;10
1386172427230;828;10;10
1386172427230;248;10;10
1386172427230;889;10;10
1386172427230;1049;10;0
1386172427230;1190;10;10
1386172427230;988;10;10
1386172427230;584;10;10
1386172427230;1026;10;10
1386172427230;1051;10;10
1386172427230;520;10;10
1386172427230;1181;10;10
1386172427230;468;10;10
1386172427230;608;10;10
1386172427230;107;10;10
1386172427230;638;10;10
1386172427230;233;10;10
1386172427230;463;10;10
1386172427230;954;10;10
1386172427230;1053;10;10
1386172427230;206;10;10
1386172427230;841;10;10
1386172427230;664;10;10
1386172427230;453;10;10
1386172427230;242;10;10
1386172427230;239;10;10
1386172427230;205;10;10
1386172427230;37;10;10
1386172427230;389;10;10
1386172427230;240;10;10
1386172427230;1187;10;10
1386172427230;1204;10;10
1386172427230;869;10;10
1386172427230;284;10;10
1386172427230;1058;10;10
1386172427230;634;10;10
1386172427230;1081;10;10
1386172427230;157;10;10
1386172427230;1006;10;10
1386172427230;853;10;10
1386172427230;1165;10;10
1386172427230;305;10;10
1386172427230;991;10;10
1386172427230;667;10;10
1386172427230;148;10;10
1386172427230;1002;10;10
1386172427230;371;10;10
1386172427230;378;10;10
1386172427230;557;10;10
1386172427230;324;10;10
1386172427230;1;10;10
1386172427230;230;10;10
1386172427230;1162;10;10
1386172427230;9;10;10
1386172427230;110;10;10
1386172427230;885;10;10
1386172427230;376;10;10
1386172427230;439;10;10
1386172427230;438;10;10
1386172427230;212;10;10
1386172427230;820;10;10
1386172427230;261;10;10
1386172427230;236;10;10
1386172427230;310;10;10
1386172427230;83;10;10
1386172427230;385;10;10
1386172427230;1142;10;10
1386172427230;1092;10;10
1386172427230;1147;10;10
1386172427230;587;10;10
1386172427230;207;10;10
1386172427230;595;10;10
1386172427230;705;10;10
1386172427230;461;10;10
1386172427230;204;10;10
1386172427230;977;10;10
1386172427230;632;10;10
1386172427230;280;10;10
1386172427230;803;10;10
1386172427230;406;10;10
1386172427230;409;10;10
1386172427230;263;10;10
1386172427230;143;10;10
1386172427230;725;10;10
1386172427230;794;10;10
1386172427230;704;10;10
1386172427230;69;10;10
1386172427230;821;10;10
1386172427230;1209;10;10
1386172427230;662;10;10
1386172427230;250;10;10
1386172427230;673;10;10
1386172427230;764;10;10
1386172427230;457;10;10
1386172427230;410;10;10
1386172427230;547;10;10
1386172427230;149;10;10
1386172427230;791;10;10
