62361;1
29507;1
29508;1
62360;8
75592;1
78358;1
78356;1
75596;1
79807;1
71897;1
52045;1
79808;1
86712;1
52041;1
63920;2
71894;1
52040;1
63919;1
36230;1
47210;1
63918;3
52806;6
58893;1
78369;4
86720;1
71881;1
75585;1
62353;2
88202;1
89336;1
90623;3
62355;2
62356;2
52036;1
34210;1
47205;1
79816;1
52031;1
46666;1
36243;1
36242;1
86719;1
46660;1
90633;1
91152;1
90632;2
52819;2
52029;2
62342;2
52028;1
62341;2
89343;1
50870;1
69648;2
85643;1
50875;2
36214;1
46674;2
63005;2
50878;4
46673;1
69642;1
85649;1
69640;3
58884;2
58885;2
58886;1
78374;2
58888;3
63015;2
86098;1
64599;1
58871;2
79834;1
88222;1
50882;2
36223;3
46688;1
86705;5
79839;2
62336;6
63906;2
40394;1
40399;1
78381;2
71090;2
58876;2
63028;4
47259;1
47257;2
63029;3
52000;2
69625;5
61822;1
63858;1
49302;1
63964;1
63020;1
78314;1
63024;4
87133;1
29546;1
63851;1
59912;1
63849;3
61817;1
61814;1
49317;1
63979;1
39636;2
63848;3
62317;2
46622;1
61835;6
62318;1
61834;2
64576;3
63033;1
79853;3
63970;3
45211;1
86079;1
63030;1
79851;1
58857;2
86074;3
86071;1
91194;2
59902;4
61800;2
47239;6
69602;1
63046;5
29524;2
85680;3
78331;1
79863;3
45223;2
69606;7
64566;1
78330;1
58847;1
40362;3
91168;2
63827;1
64558;1
50840;1
61812;16
66697;1
63822;14
39614;1
63955;3
63057;2
52800;2
64555;1
63054;1
63053;1
89397;3
79875;1
52803;1
40356;1
63948;1
66690;2
61804;1
59958;1
39663;3
49341;4
87172;1
59951;5
63062;1
41478;1
47290;2
59000;1
88276;2
79888;1
86796;5
70778;2
59003;6
43011;1
87175;1
53579;2
87178;1
35759;1
87177;1
86793;1
48867;1
55024;1
35755;2
53573;3
43723;1
55027;1
41463;1
48850;1
47282;1
41466;1
39675;2
59948;1
39674;1
47285;1
59947;1
79891;1
59019;1
59017;1
59016;6
63074;5
79898;2
86035;3
70783;4
63884;1
35749;1
53563;2
70780;4
39679;1
48855;1
60586;9
36295;1
36292;1
47270;5
47272;2
70746;5
80361;1
87150;1
87152;1
63870;2
59021;3
70753;3
66661;1
49324;1
63984;2
49326;2
63985;1
53555;3
63988;1
39647;1
43707;1
63874;5
55003;1
80357;1
39652;1
80358;1
47261;5
49331;1
59929;5
70757;1
59031;1
60562;2
86782;1
66657;1
35727;1
53547;2
70767;6
46606;1
63994;1
55018;1
49338;1
53540;1
55015;3
60565;2
60566;1
30689;2
55012;2
43052;2
49380;1
59994;1
70724;3
49386;4
35791;1
85627;1
60533;2
72987;1
72982;2
32942;1
86753;1
59992;3
59040;1
59042;1
32929;1
36280;1
52073;1
52071;4
52861;1
72976;2
85632;1
68105;8
48810;2
52075;1
72973;5
74492;1
70745;1
70742;1
74497;1
74480;1
87194;1
59977;2
49362;1
35771;5
53591;1
39680;1
41497;1
49367;2
60513;1
49368;2
52065;1
39689;1
86736;2
52873;1
86739;1
33520;1
72174;1
59065;1
66626;1
43035;1
52876;1
