pathSize;angle_to_destination;route_ID;number_of_edges
0,08530171306019829;4.0;404;81
0,12143035175563854;4.0;404;81
0,24628757625903952;4.0;1175;18
0,1336632592151048;4.0;375;22
0,24355440434139197;4.0;1076;41
0,8023270282959296;4.0;762;17
0,4438680558969852;4.0;883;21
0,5878424710348307;4.0;21;25
0,037736585551852775;4.0;1016;67
0,06750232689391966;4.0;1265;57
0,3609339899083708;4.0;229;14
0,5579244272287058;4.0;229;14
0,9816982248694406;4.0;462;14
0,2093710423681372;4.0;668;54
0,058142670249773154;4.0;1190;104
0,41893732079919177;4.0;48;65
0,19056761194839256;4.0;1050;24
0,14966203461999172;4.0;1160;153
0,10046397344737024;4.0;1160;153
0,07306962829155217;4.0;1160;153
0,02284612021804544;4.0;1160;153
0,07812952960658737;4.0;1160;153
0,16951580023214619;4.0;1160;153
0,13489294888825065;4.0;1101;24
0,47764721216033257;4.0;1074;15
0,21809608094112076;4.0;113;18
0,2566611013294442;4.0;164;27
1,0;4.0;1266;10
0,7819841626322823;4.0;1266;10
0,5470518641451976;4.0;1130;15
0,11714668727899213;4.0;426;29
0,6077463277920687;4.0;661;26
0,4432378072939507;4.0;661;26
0,4343831966164984;4.0;205;24
0,2737076457429424;4.0;647;64
0,09445911391733985;4.0;922;34
0,44201516838386756;4.0;946;26
0,09991838186282598;4.0;582;89
0,2210661204130968;4.0;607;17
0,44532928127193716;4.0;559;15
0,13760826314317232;4.0;596;23
0,797126991161287;4.0;408;3
0,797126991161287;4.0;408;3
0,797126991161287;4.0;408;3
0,797126991161287;4.0;408;3
1,0;4.0;461;6
1,0;4.0;461;6
0,3818816177254871;4.0;451;22
0,2798559263383291;4.0;422;35
0,13237416915011546;4.0;530;22
0,3692269584172321;4.0;695;28
0,050528145451516515;4.0;660;79
0,03412342885666697;4.0;660;79
0,09968763072288311;4.0;660;79
0,05074570144044932;4.0;660;79
0,0842261770123891;4.0;1192;29
0,029583972454754637;4.0;1192;29
0,28934338664200143;4.0;216;25
0,08458983516273544;4.0;1240;42
0,43527623979042773;4.0;491;17
0,26534483249990237;4.0;491;17
0,08665406750444271;4.0;320;25
0,7801213909679316;4.0;321;13
0,1300657485515917;4.0;196;91
0,3219377546666733;4.0;1145;36
0,2432540799292886;4.0;311;36
0,08651264347682575;4.0;127;44
0,03628831472327376;4.0;127;44
0,1125893468966559;4.0;305;123
0,17766964660211193;4.0;424;66
0,26501197847958324;4.0;424;66
0,08947278836090167;4.0;871;162
0,47107239093547926;4.0;1106;18
0,21953063703893672;4.0;1106;18
0,4750665016213862;4.0;1120;13
0,23700273087894863;4.0;1120;13
0,41104483159053706;4.0;1120;13
0,47627205491823266;4.0;1120;13
0,1181974344215011;4.0;585;62
0,05885484397950447;4.0;73;12
0,09288776507041563;4.0;64;27
0,44994698790200593;4.0;1054;11
0,44994698790200593;4.0;1054;11
0,39020445447737995;4.0;1054;11
0,3502054179444014;4.0;1054;11
1,0;4.0;1054;11
0,3502054179444014;4.0;1054;11
0,771354120806532;4.0;1054;11
0,39020445447737995;4.0;1054;11
0,017558167762698362;4.0;1121;103
0,031159331262573975;4.0;1121;103
0,012646006123927744;4.0;1121;103
0,2188415233469856;4.0;977;17
0,35685789889622166;4.0;589;59
0,195158140514881;4.0;785;22
0,1359297800391308;4.0;717;40
0,1388867575707764;4.0;717;40
0,24885067440585562;4.0;717;40
0,29528921512753303;4.0;717;40
0,12043494252437004;4.0;1044;126
0,14655067693510815;4.0;1044;126
0,01532067215341315;4.0;1132;62
0,029238142845392945;4.0;1107;228
0,5193014106688412;4.0;1140;15
0,08135408385941156;4.0;115;59
0,3233686341793831;4.0;592;4
0,3233686341793831;4.0;592;4
0,7040822733115759;4.0;592;4
0,30322932299351124;4.0;832;35
0,33798833883729373;4.0;225;12
0,10651449233341115;4.0;225;12
0,23998780069762704;4.0;225;12
0,6292460495552399;4.0;225;12
0,2391629920772711;4.0;294;139
0,07364393442211137;4.0;299;18
0,14948285908975345;4.0;315;17
0,44347639783657433;4.0;642;29
0,3456693683239247;4.0;845;30
0,19931980337763266;4.0;948;48
0,6191352501017162;4.0;108;3
0,15930359088187473;4.0;640;46
0,18390531191873882;4.0;640;46
0,14410612780498244;4.0;180;49
0,17620397621104256;4.0;180;49
0,49469629445163843;4.0;667;40
0,20280601405242837;4.0;44;26
0,25131373810318824;4.0;44;26
0,35188139091579607;4.0;857;15
0,6051936354153908;4.0;857;15
0,3987779974409542;4.0;857;15
0,12936336384729175;4.0;1199;71
0,019092364016678243;4.0;1199;71
0,071847824515201;4.0;352;75
0,0520000366270128;4.0;352;75
0,09488164643746955;4.0;352;75
0,02971380329293649;4.0;352;75
0,0687891688847111;4.0;352;75
0,037408204634623354;4.0;352;75
0,09787623160660797;4.0;352;75
0,008641888005803455;4.0;583;81
0,3400503376311852;4.0;739;39
0,1591873513123696;4.0;601;69
0,08700782813594587;4.0;120;15
0,1098934492692718;4.0;120;15
0,16054959384015266;4.0;392;67
1,0;4.0;150;22
1,0;4.0;150;22
1,0;4.0;150;22
1,0;4.0;150;22
0,17577497884756;4.0;150;22
1,0;4.0;150;22
1,0;4.0;150;22
0,7638620060702732;4.0;150;22
1,0;4.0;150;22
1,0;4.0;150;22
0,43934204286160927;4.0;819;20
0,1800011419607035;4.0;819;20
0,5807166365533951;4.0;819;20
0,20423197879720822;4.0;858;46
0,08706111350264312;4.0;437;121
0,048837658107803605;4.0;1077;32
0,05964581734658081;4.0;291;58
0,04878838572288058;4.0;291;58
0,16343936522770508;4.0;1032;43
0,08361639483499905;4.0;1032;43
0,15224430173321535;4.0;270;20
0,2184809337596132;4.0;366;40
0,08365810191602563;4.0;720;56
0,0938006335053041;4.0;720;56
0,5535331979571905;4.0;689;11
0,06857218703875478;4.0;947;83
0,12117510459916914;4.0;260;41
0,2788568058212615;4.0;545;30
0,22232347622573734;4.0;88;13
0,16458751333465038;4.0;89;13
0,2075398752175699;4.0;1037;15
AVG:0,31094450388541434
