pathSize;angle_to_destination;route_ID;number_of_edges
0,2160258348780142;0.9;561;32
0,07144622964342662;0.9;270;20
0,025380542543383955;0.9;270;20
0,05569117326527806;0.9;270;20
1,0;0.9;461;6
0,23110971265749325;0.9;461;6
0,4277359664728726;0.9;225;12
0,2582226502961711;0.9;225;12
0,3233686341793831;0.9;592;4
0,3555304006424995;0.9;410;13
0,39020445447737995;0.9;1054;11
0,27890101753895835;0.9;1054;11
1,0;0.9;1054;11
1,0;0.9;391;26
0,30947386252584996;0.9;1077;32
1,0;0.9;150;22
1,0;0.9;150;22
1,0;0.9;150;22
0,4704085782677554;0.9;274;21
0,7819841626322823;0.9;1266;10
0,6357137697249324;0.9;1266;10
AVG:0,5157712852259848
