pathSize;angle_to_destination;route_ID;number_of_edges
0,11117961567245338;20.0;698;167
0,08409692640016764;20.0;698;167
0,20744425006614264;20.0;698;167
0,14396163529634354;20.0;698;167
0,24056775176438383;20.0;698;167
0,13421715433129244;20.0;698;167
0,04809712864536486;20.0;664;104
0,08742284817402912;20.0;664;104
0,07826925196687262;20.0;395;164
0,25698538541649474;20.0;395;164
0,07400579239471927;20.0;315;17
0,16070698826849283;20.0;315;17
0,16070698826849283;20.0;315;17
0,14948285908975345;20.0;315;17
0,12657657208699913;20.0;43;91
0,06304462841016223;20.0;43;91
0,06823507947011676;20.0;43;91
0,05548285838399436;20.0;43;91
0,22607792206529242;20.0;386;51
0,2493313503518162;20.0;386;51
0,021188850086945488;20.0;1121;103
0,015351992231316558;20.0;1121;103
0,03422112379610809;20.0;1121;103
0,033475402965716716;20.0;1121;103
0,021111878250819727;20.0;1121;103
0,013580543335453665;20.0;1121;103
0,012391467099718723;20.0;1121;103
0,49561521978180045;20.0;965;20
0,47191505556500024;20.0;965;20
0,5865921164933623;20.0;965;20
0,4610846959355528;20.0;965;20
0,3884665685904689;20.0;965;20
0,02141623146401672;20.0;1154;124
0,21104645752496642;20.0;122;46
0,06929093326883651;20.0;122;46
0,6797871238824196;20.0;422;35
0,5669539239558223;20.0;422;35
0,06344153092005;20.0;351;84
0,37139913223804455;20.0;351;84
0,24011147215535034;20.0;351;84
0,2006241254256138;20.0;351;84
0,2502413245120505;20.0;351;84
0,15955198650393432;20.0;758;76
0,41536679912852814;20.0;758;76
0,2626149952580099;20.0;758;76
0,35545668517807916;20.0;758;76
0,2501715084435414;20.0;758;76
0,2070941179389989;20.0;758;76
0,4083297731212523;20.0;56;33
0,9031397152610336;20.0;435;31
0,7682772652157772;20.0;435;31
0,9041759194019352;20.0;435;31
0,8822587509229829;20.0;435;31
0,8822587509229829;20.0;435;31
0,7565235758746731;20.0;435;31
0,8822587509229829;20.0;435;31
0,9041759194019352;20.0;435;31
0,7861218476415548;20.0;435;31
0,011161064314224589;20.0;942;165
0,03225021804917172;20.0;942;165
0,03549096069525626;20.0;942;165
0,04437740879476437;20.0;942;165
0,5118701919235615;20.0;587;26
0,4293608520287333;20.0;587;26
0,4414935642171922;20.0;587;26
0,16348312185470704;20.0;81;91
0,15466917157115168;20.0;81;91
0,1710906821857472;20.0;81;91
0,14868059556763957;20.0;14;53
0,21131061349303915;20.0;14;53
0,22443258121744525;20.0;14;53
0,331215113696113;20.0;14;53
0,32344773058032383;20.0;14;53
0,10403933261834708;20.0;663;181
0,11151826297174239;20.0;663;181
0,09440059381038401;20.0;663;181
0,05993968031253383;20.0;663;181
0,33507160622346555;20.0;121;38
0,5173618090659291;20.0;121;38
0,1939810301242222;20.0;121;38
0,0837176599860665;20.0;121;38
0,1545128343751654;20.0;121;38
0,2200136714847063;20.0;121;38
0,2737204159581239;20.0;762;17
0,1417321294871805;20.0;726;42
0,08956576809660466;20.0;585;62
0,3380302405716691;20.0;585;62
0,09643290581095165;20.0;585;62
0,04332136759404248;20.0;585;62
0,02465744950728377;20.0;1029;104
0,11769438495302276;20.0;1029;104
0,20780922575738225;20.0;1029;104
0,22409557352413856;20.0;1029;104
0,0958655625877487;20.0;437;121
0,09811499315138494;20.0;437;121
0,13509785866281354;20.0;437;121
0,09068642152270101;20.0;437;121
0,13058024911072041;20.0;437;121
0,215256691175727;20.0;951;89
0,24353840251697756;20.0;951;89
0,40463654119142833;20.0;951;89
0,25822124197184704;20.0;951;89
0,516302299878173;20.0;205;24
0,15812413326992658;20.0;656;92
0,07507687375478866;20.0;656;92
0,04352705272938562;20.0;656;92
0,10597498237006486;20.0;656;92
0,11292429295794526;20.0;656;92
0,1301421617881453;20.0;656;92
0,081378701695759;20.0;656;92
0,04573875026831331;20.0;527;60
0,31954104102371494;20.0;527;60
0,3061276992013735;20.0;527;60
0,09684535005481854;20.0;527;60
0,25653390152751787;20.0;527;60
0,08226735813500885;20.0;582;89
0,04918241538272805;20.0;582;89
0,09253982482494338;20.0;582;89
