pathSize;angle_to_destination;route_ID;number_of_edges
0,137467137602181;0.5;352;75
0,0650698472333553;0.5;352;75
1,0;0.5;150;22
1,0;0.5;150;22
0,23679381261429522;0.5;1101;24
0,5296873932277781;0.5;236;14
0,9085009180722066;0.5;108;3
0,7697366192225321;0.5;108;3
0,8290943230131527;0.5;391;26
0,17333247914706051;0.5;857;15
0,6678150741023843;0.5;88;13
0,9248509383928254;0.5;88;13
0,1433944430288432;0.5;225;12
0,18196227192670067;0.5;225;12
0,40939038543868866;0.5;785;22
1,0;0.5;1054;11
0,14366261445070116;0.5;1054;11
0,771354120806532;0.5;1054;11
AVG:0,5495617987932909
