pathSize;angle_to_destination;route_ID;number_of_edges
1,0;0.2;150;22
0,07464452719351056;0.2;352;75
0,08311844438658911;0.2;352;75
0,0591534914495353;0.2;352;75
0,7918483273349797;0.2;461;6
0,4403301625123046;0.2;391;26
1,0;0.2;391;26
0,2021738936624624;0.2;857;15
0,5262458155116294;0.2;108;3
0,5262458155116294;0.2;108;3
0,1822135337039723;0.2;1120;13
0,2821784700411871;0.2;1130;15
0,09842276504033065;0.2;120;15
0,1303149201501801;0.2;375;22
0,3038952264747836;0.2;375;22
AVG:0,38005235953153965
