pathSize;angle_to_destination;route_ID;number_of_edges
0,596265872315964;0.9;408;3
0,797126991161287;0.9;408;3
0,797126991161287;0.9;408;3
0,5980514934605139;0.9;462;14
0,7288326227869326;0.9;150;22
0,19685247332692812;0.9;150;22
0,30397298829346453;0.9;150;22
1,0;0.9;150;22
1,0;0.9;150;22
1,0;0.9;150;22
0,4277359664728726;0.9;225;12
0,12542403703038318;0.9;73;12
0,24185639743625864;0.9;1280;33
0,398388747070094;0.9;1054;11
1,0;0.9;1054;11
0,771354120806532;0.9;1054;11
1,0;0.9;1054;11
0,2909250657229372;0.9;1120;13
0,35193448733843935;0.9;1120;13
0,12041180816054298;0.9;1120;13
0,7918483273349797;0.9;461;6
0,5262458155116294;0.9;108;3
0,13044521526433028;0.9;352;75
0,09257050036830505;0.9;352;75
AVG:0,5536404133759868
