pathSize;angle_to_destination;route_ID;number_of_edges
0,1186123027740491;0.7;607;17
1,0;0.7;1054;11
0,771354120806532;0.7;1054;11
0,1950390767641823;0.7;311;36
0,6533606793084374;0.7;1259;14
0,881745819546639;0.7;150;22
1,0;0.7;150;22
0,3582354172067539;0.7;150;22
0,7395995148375216;0.7;150;22
1,0;0.7;391;26
0,53962433607661;0.7;120;15
0,15815529448051913;0.7;375;22
0,5262458155116294;0.7;108;3
0,5262458155116294;0.7;108;3
0,5262458155116294;0.7;108;3
0,5262458155116294;0.7;108;3
0,3568536924637391;0.7;225;12
0,4408697143712641;0.7;1093;36
0,33893130404649563;0.7;1120;13
0,6781248600851781;0.7;491;17
0,06136711634161629;0.7;352;75
0,05120143329258653;0.7;352;75
0,18303739604251223;0.7;352;75
0,11154222565997474;0.7;352;75
AVG:0,489276565256297
