modelid;route_id;number_of_repetitions;number_of_successful_routes
1386593711577;473;10;1
1386593711577;1181;10;1
1386593711577;334;10;1
1386593711577;356;10;0
1386593711577;848;10;0
1386593711577;610;10;5
1386593711577;1122;10;1
1386593711577;270;10;10
1386593711577;1130;10;9
1386593711577;1142;10;0
1386593711577;1079;10;0
1386593711577;1190;10;7
1386593711577;412;10;4
1386593711577;263;10;3
1386593711577;550;10;0
1386593711577;514;10;4
1386593711577;401;10;0
1386593711577;645;10;0
1386593711577;1198;10;6
1386593711577;688;10;3
1386593711577;959;10;0
1386593711577;448;10;2
1386593711577;660;10;7
1386593711577;554;10;2
1386593711577;14;10;7
1386593711577;304;10;1
1386593711577;797;10;0
1386593711577;16;10;1
1386593711577;896;10;1
1386593711577;742;10;4
1386593711577;396;10;1
1386593711577;661;10;3
1386593711577;477;10;0
1386593711577;665;10;0
1386593711577;1094;10;0
1386593711577;1226;10;0
1386593711577;181;10;6
1386593711577;1191;10;5
1386593711577;88;10;7
1386593711577;952;10;7
1386593711577;98;10;0
1386593711577;386;10;1
1386593711577;22;10;5
1386593711577;297;10;1
1386593711577;408;10;7
1386593711577;10;10;1
1386593711577;69;10;1
1386593711577;159;10;3
1386593711577;1058;10;6
1386593711577;633;10;2
1386593711577;725;10;4
1386593711577;79;10;1
1386593711577;1256;10;0
1386593711577;853;10;1
1386593711577;162;10;1
1386593711577;749;10;0
1386593711577;1155;10;1
1386593711577;141;10;1
1386593711577;1149;10;2
1386593711577;1089;10;2
1386593711577;1154;10;2
1386593711577;464;10;1
1386593711577;34;10;1
1386593711577;202;10;4
1386593711577;930;10;1
1386593711577;357;10;2
1386593711577;717;10;3
1386593711577;851;10;7
1386593711577;1116;10;6
1386593711577;543;10;4
1386593711577;580;10;9
1386593711577;1220;10;3
1386593711577;353;10;3
1386593711577;3;10;0
1386593711577;167;10;0
1386593711577;409;10;2
1386593711577;1185;10;7
1386593711577;840;10;5
1386593711577;498;10;3
1386593711577;1112;10;0
1386593711577;918;10;0
1386593711577;893;10;0
1386593711577;1131;10;0
1386593711577;189;10;3
1386593711577;769;10;5
1386593711577;432;10;3
1386593711577;702;10;4
1386593711577;928;10;1
1386593711577;216;10;4
1386593711577;574;10;0
1386593711577;496;10;1
1386593711577;413;10;1
1386593711577;828;10;0
1386593711577;133;10;2
1386593711577;585;10;5
1386593711577;641;10;0
1386593711577;89;10;5
1386593711577;365;10;6
1386593711577;1133;10;0
1386593711577;125;10;2
1386593711577;384;10;0
1386593711577;812;10;0
1386593711577;892;10;3
1386593711577;1078;10;1
1386593711577;312;10;2
