modelid;route_id;number_of_repetitions;number_of_successful_routes
1386590390868;74;10;7
1386590390868;1143;10;10
1386590390868;925;10;5
1386590390868;795;10;3
1386590390868;991;10;0
1386590390868;527;10;9
1386590390868;903;10;7
1386590390868;287;10;4
1386590390868;1152;10;10
1386590390868;612;10;10
1386590390868;1121;10;10
1386590390868;166;10;9
1386590390868;11;10;10
1386590390868;478;10;7
1386590390868;911;10;0
1386590390868;461;10;10
1386590390868;214;10;8
1386590390868;514;10;6
1386590390868;159;10;8
1386590390868;86;10;8
1386590390868;1054;10;10
1386590390868;778;10;4
1386590390868;242;10;10
1386590390868;108;10;4
1386590390868;323;10;2
1386590390868;599;10;5
1386590390868;21;10;5
1386590390868;441;10;6
1386590390868;148;10;10
1386590390868;1190;10;9
1386590390868;573;10;6
1386590390868;862;10;0
1386590390868;923;10;1
1386590390868;96;10;5
1386590390868;19;10;0
1386590390868;27;10;10
1386590390868;864;10;9
1386590390868;990;10;1
1386590390868;1041;10;0
1386590390868;249;10;10
1386590390868;614;10;9
1386590390868;566;10;8
1386590390868;343;10;10
1386590390868;870;10;1
1386590390868;73;10;9
1386590390868;68;10;10
1386590390868;457;10;10
1386590390868;259;10;10
1386590390868;76;10;10
1386590390868;406;10;0
1386590390868;1209;10;7
1386590390868;802;10;4
1386590390868;897;10;4
1386590390868;60;10;5
1386590390868;1053;10;10
1386590390868;1252;10;6
1386590390868;814;10;10
1386590390868;78;10;0
1386590390868;564;10;10
1386590390868;591;10;5
1386590390868;943;10;10
1386590390868;830;10;5
1386590390868;689;10;10
1386590390868;542;10;0
1386590390868;1082;10;4
1386590390868;593;10;3
1386590390868;1276;10;3
1386590390868;243;10;10
1386590390868;71;10;10
1386590390868;204;10;3
1386590390868;1255;10;3
1386590390868;153;10;6
1386590390868;706;10;1
1386590390868;1238;10;1
1386590390868;1069;10;1
1386590390868;157;10;0
1386590390868;627;10;0
1386590390868;1261;10;7
1386590390868;1282;10;2
1386590390868;171;10;7
1386590390868;1232;10;8
1386590390868;496;10;4
1386590390868;333;10;10
1386590390868;907;10;10
1386590390868;536;10;7
1386590390868;122;10;6
1386590390868;1110;10;5
1386590390868;956;10;0
1386590390868;119;10;9
1386590390868;4;10;0
1386590390868;556;10;4
1386590390868;523;10;10
1386590390868;623;10;2
1386590390868;317;10;0
1386590390868;1099;10;10
1386590390868;25;10;5
1386590390868;858;10;10
1386590390868;861;10;0
1386590390868;372;10;1
1386590390868;681;10;9
1386590390868;921;10;0
1386590390868;1080;10;0
1386590390868;1035;10;0
1386590390868;1146;10;10
1386590390868;649;10;2
1386590390868;118;10;10
1386590390868;841;10;0
1386590390868;704;10;1
1386590390868;938;10;9
1386590390868;707;10;3
1386590390868;432;10;10
1386590390868;1162;10;4
1386590390868;1081;10;10
1386590390868;585;10;7
1386590390868;1098;10;1
1386590390868;77;10;10
1386590390868;595;10;1
1386590390868;1095;10;10
1386590390868;58;10;3
1386590390868;801;10;0
1386590390868;963;10;0
1386590390868;420;10;9
1386590390868;766;10;4
1386590390868;847;10;10
1386590390868;331;10;10
1386590390868;761;10;0
1386590390868;429;10;10
1386590390868;680;10;0
1386590390868;544;10;1
1386590390868;818;10;7
1386590390868;303;10;8
1386590390868;45;10;8
1386590390868;395;10;3
1386590390868;1159;10;6
1386590390868;458;10;0
1386590390868;393;10;6
1386590390868;891;10;0
1386590390868;749;10;1
1386590390868;186;10;0
1386590390868;685;10;9
1386590390868;426;10;10
1386590390868;999;10;8
1386590390868;1033;10;8
1386590390868;347;10;10
1386590390868;64;10;10
1386590390868;1043;10;9
1386590390868;776;10;10
1386590390868;1023;10;10
1386590390868;291;10;10
1386590390868;731;10;0
1386590390868;417;10;8
1386590390868;926;10;1
1386590390868;589;10;7
