pathSize;angle_to_destination;route_ID;number_of_edges
0,7850483811448459;0.8;391;26
0,03369618139973629;0.8;270;20
0,1175904110014716;0.8;352;75
0,7040822733115759;0.8;592;4
0,7040822733115759;0.8;592;4
0,251807614016726;0.8;819;20
0,48590838311890017;0.8;1106;18
0,46522902441196745;0.8;205;24
0,5438754593213451;0.8;164;27
0,730341465671347;0.8;1266;10
0,20924433889373928;0.8;1120;13
0,14751777486065487;0.8;1120;13
1,0;0.8;150;22
1,0;0.8;150;22
0,537569515146179;0.8;150;22
0,20439183011637718;0.8;311;36
0,1701766470578847;0.8;197;20
0,5262458155116294;0.8;108;3
0,5262458155116294;0.8;108;3
0,4292708058822894;0.8;274;21
AVG:0,4786162004844937
