pathSize;angle_to_destination;route_ID;number_of_edges
0,10149037288958951;5.0;813;110
0,0644194383897978;5.0;829;49
0,07268564661318377;5.0;829;49
0,44722573646771924;5.0;325;38
0,07239259786554508;5.0;1032;43
0,0;5.0;523;56
0,36051727756113383;5.0;451;22
0,31566525982362714;5.0;451;22
0,07580458550626501;5.0;487;71
0,28351161715751894;5.0;367;17
0,23794681313530308;5.0;367;17
0,21674023928501396;5.0;322;56
0,21580990621725316;5.0;668;54
0,18404719709411688;5.0;607;17
0,19348064961969924;5.0;607;17
0,039981933000765135;5.0;858;46
0,10719607281493104;5.0;858;46
0,13156353992823466;5.0;472;55
0,11324982942008432;5.0;472;55
0,25885837151967417;5.0;1175;18
0,12709213433716382;5.0;1251;102
0,02304283966645171;5.0;419;94
0,0898079018660014;5.0;419;94
0,026674311112012017;5.0;419;94
0,06271520563576582;5.0;419;94
0,036283150353551896;5.0;419;94
0,16534530707262873;5.0;432;81
0,20371319353988726;5.0;519;199
0,2737594703336945;5.0;647;64
0,2770563642436361;5.0;491;17
0,08633830188826264;5.0;871;162
0,11867275499399343;5.0;320;25
0,08845108902097332;5.0;961;31
0,3344257631523879;5.0;164;27
0,03251499223845089;5.0;437;121
0,03514132432994499;5.0;437;121
0,17546482963886345;5.0;44;26
0,4201742478511399;5.0;946;26
0,0761968914875526;5.0;1242;86
0,1431008083343237;5.0;1242;86
0,5262458155116294;5.0;108;3
0,6191352501017162;5.0;108;3
0,6191352501017162;5.0;108;3
0,6863178904307852;5.0;575;11
0,2651046672104367;5.0;1076;41
0,4167785552037444;5.0;1076;41
0,535313837533063;5.0;1081;14
0,3046850828913388;5.0;1081;14
0,15820272908073751;5.0;197;20
0,29370532519194037;5.0;225;12
0,595285456495402;5.0;225;12
0,42572101183518707;5.0;225;12
0,3191332662101185;5.0;225;12
0,03516273891501043;5.0;1267;71
0,3882380189551027;5.0;205;24
0,08024574784081207;5.0;191;96
0,08783990832395361;5.0;1127;92
0,287592648644442;5.0;1259;14
0,11741961809324564;5.0;341;28
0,2919903031406559;5.0;341;28
0,2724242468696134;5.0;341;28
0,12295441151687658;5.0;341;28
0,060391039802528024;5.0;1160;153
0,04552687634306607;5.0;1160;153
0,1622191905124506;5.0;1199;71
0,11848343703913433;5.0;180;49
0,10352437397634828;5.0;180;49
0,6067614739678713;5.0;834;38
0,6111765286948097;5.0;521;25
0,19447611329819514;5.0;14;53
0,08360077977278602;5.0;14;53
0,2091561338642518;5.0;537;41
0,16844838334458423;5.0;537;41
0,12246217350016808;5.0;580;92
0,05402783383403231;5.0;291;58
0,06411619923403666;5.0;512;104
0,451062371146826;5.0;889;22
0,042316675405280835;5.0;299;18
0,1455760095694043;5.0;543;26
0,25741797588844695;5.0;543;26
0,22818355379195632;5.0;118;37
0,024130307915740223;5.0;1121;103
0,03883368993689573;5.0;1121;103
0,01767158009355474;5.0;1121;103
0,02429217476979484;5.0;1121;103
0,02463800443040709;5.0;1107;228
0,017582871824953106;5.0;1107;228
0,26274354801334265;5.0;1086;60
0,14408759244007574;5.0;433;108
1,0;5.0;150;22
1,0;5.0;150;22
1,0;5.0;150;22
1,0;5.0;150;22
1,0;5.0;150;22
1,0;5.0;150;22
1,0;5.0;150;22
1,0;5.0;150;22
1,0;5.0;150;22
1,0;5.0;150;22
0,4187546726298921;5.0;89;13
0,47541065635727975;5.0;89;13
0,1031427944291643;5.0;89;13
0,2226767933763989;5.0;89;13
0,11082267175471272;5.0;1016;67
0,2644668887206745;5.0;550;28
0,33215506048173915;5.0;28;32
0,1342050361263487;5.0;113;18
0,5066695944380442;5.0;113;18
0,16491644551816154;5.0;243;40
0,2750713050503104;5.0;243;40
0,012253243542482473;5.0;1132;62
0,049786761907890886;5.0;1132;62
0,0641870487770908;5.0;410;13
0,24263333721251756;5.0;410;13
0,31994541417240474;5.0;717;40
0,18300208437555088;5.0;717;40
0,12061517049406834;5.0;236;14
0,3082751718396062;5.0;819;20
0,30220262676415377;5.0;819;20
0,5768850093879017;5.0;883;21
0,04630461870219116;5.0;1101;24
0,6632614578690159;5.0;559;15
0,2343863363135117;5.0;559;15
0,3555779917810724;5.0;640;46
0,1566453525089373;5.0;640;46
0,26124450317357883;5.0;1037;15
0,5595439434364371;5.0;1037;15
0,20576699093508521;5.0;667;40
0,3923826543005322;5.0;667;40
0,30372318456533787;5.0;667;40
0,797126991161287;5.0;408;3
0,797126991161287;5.0;408;3
0,797126991161287;5.0;408;3
0,797126991161287;5.0;408;3
0,797126991161287;5.0;408;3
0,797126991161287;5.0;408;3
0,17647287551571345;5.0;231;112
0,19042495713942964;5.0;231;112
0,20415141597115216;5.0;231;112
0,36446530157763424;5.0;121;38
0,10108429594840507;5.0;121;38
0,3960419768347956;5.0;1106;18
0,17089469758693143;5.0;981;33
0,30508708431306086;5.0;72;43
0,09050343455362131;5.0;176;39
0,10267182063361302;5.0;381;75
0,1980845731894869;5.0;381;75
0,4041314574733894;5.0;1255;55
0,42213058508175716;5.0;1152;21
0,771354120806532;5.0;1054;11
0,771354120806532;5.0;1054;11
0,771354120806532;5.0;1054;11
0,21725355740859986;5.0;1054;11
1,0;5.0;1054;11
0,43203160653767547;5.0;1054;11
0,25073387447886497;5.0;351;84
0,7832844886547552;5.0;992;12
0,13855578384652123;5.0;498;29
0,010242609094845534;5.0;912;95
0,1708355939084294;5.0;534;41
0,16716697313686613;5.0;534;41
0,16580859574792273;5.0;530;22
0,18284745480842224;5.0;530;22
0,21740176441307413;5.0;392;67
0,07911261758818156;5.0;392;67
0,12444133348847286;5.0;392;67
0,3808172124344027;5.0;460;29
0,0821190271617207;5.0;352;75
0,14019831525015736;5.0;352;75
0,0856998131372857;5.0;352;75
0,10172233793170471;5.0;352;75
0,10701725420046171;5.0;352;75
0,02588382274834844;5.0;352;75
0,13308265396630325;5.0;352;75
0,10310664764918132;5.0;591;99
0,24431121666041755;5.0;805;40
0,12638761485420225;5.0;805;40
0,09963808131752194;5.0;214;80
0,29438908882028825;5.0;972;32
0,19076052909480334;5.0;726;42
0,07101860522923986;5.0;601;69
0,14403664930058913;5.0;601;69
0,13264179443042656;5.0;73;12
0,026696419884884248;5.0;888;63
0,3389518357098076;5.0;220;26
0,13817159059769724;5.0;1180;133
0,12256220820279373;5.0;582;89
0,0;5.0;270;20
0,133504844416918;5.0;270;20
0,19605800405920348;5.0;120;15
0,1317050423249686;5.0;120;15
0,4278976919366584;5.0;120;15
0,09106627459552508;5.0;120;15
0,13292355462838312;5.0;922;34
0,3418522131561432;5.0;1025;28
0,14581727826140067;5.0;1083;29
0,5481571947281114;5.0;1083;29
0,13813613515838208;5.0;1083;29
0,13910060861216134;5.0;690;19
0,1464568791745049;5.0;690;19
0,04402841873746488;5.0;1265;57
0,1607898594787185;5.0;1188;49
0,3451489682482598;5.0;962;12
0,1456627582999448;5.0;909;52
0,19651851773480433;5.0;1093;36
0,034338738538167934;5.0;1250;82
0,12591073142023923;5.0;1072;24
0,7040822733115759;5.0;592;4
0,3233686341793831;5.0;592;4
0,24903352770176324;5.0;736;44
0,14511926297322653;5.0;115;59
0,17884145339879653;5.0;115;59
0,34819526314535065;5.0;572;23
0,2802153599274979;5.0;303;33
0,0944727624557764;5.0;715;56
0,11061044691929145;5.0;715;56
0,08580336377742803;5.0;311;36
0,33262329019768067;5.0;311;36
0,3827865815361118;5.0;558;58
0,15037256576270908;5.0;414;64
0,08811117900283816;5.0;414;64
0,5338649593682401;5.0;977;17
0,4629323181801106;5.0;977;17
0,2116862281376739;5.0;977;17
0,2071852816312003;5.0;1044;126
0,20081961897511058;5.0;1044;126
0,14528216772806513;5.0;1263;93
0,3904902034813744;5.0;1120;13
0,3291826479529829;5.0;1120;13
0,19860137674912037;5.0;1120;13
0,32201046975248926;5.0;1120;13
0,47627205491823266;5.0;1120;13
0,03521171775152632;5.0;67;24
0,1603721397471347;5.0;409;57
0,2034105923121754;5.0;781;43
0,2875418814914852;5.0;1169;57
0,3122773196205608;5.0;953;22
0,1936536022702473;5.0;772;32
0,12581334837659863;5.0;772;32
0,12945102953453658;5.0;772;32
0,3438977554184566;5.0;274;21
0,2422557594060093;5.0;1150;112
0,13553095032423368;5.0;92;24
0,72871447439844;5.0;92;24
0,1428579711242366;5.0;1073;14
0,19480557696889922;5.0;753;95
0,06195168527194217;5.0;224;20
0,15972538781138046;5.0;369;32
0,2752597786161375;5.0;369;32
0,01918082807527033;5.0;1190;104
0,35087080757865285;5.0;1167;32
0,05363103165746619;5.0;743;290
0,008970047887269184;5.0;743;290
0,07600187079718368;5.0;743;290
0,4696308029847256;5.0;857;15
0,21472800254573832;5.0;857;15
0,6357137697249324;5.0;1266;10
AVG:0,27150740993045575
